year,county,office,district,candidate,party,votes,election_day,absentee,av_counting_boards,early_voting,mail,provisional,pre_process_absentee
2022,Bath,CITY COMMISSIONERS City of Sharpsburg,,Republican Party,REP,72,,,,,,,
2022,Bath,CITY COUNCIL City of Owingsville,,Democratic Party,DEM,181,,,,,,,
2022,Bath,CITY COUNCIL City of Owingsville,,Republican Party,REP,249,,,,,,,
2022,Bath,CONSTABLE 1st Magisterial District,,Malcolm EVERSOLE,DEM,636,,,,,,,
2022,Bath,CONSTABLE 2nd Magisterial District,,David Jackson,DEM,874,,,,,,,
2022,Bath,CONSTABLE 3rd Magisterial District,,Gordon SWARTZ,DEM,501,,,,,,,
2022,Bath,CONSTABLE 3rd Magisterial District,,Patrick L. RIDDLE,REP,719,,,,,,,
2022,Bath,CORONER,,Andrew Spence OWENS II.,DEM,2320,,,,,,,
2022,Bath,CORONER,,Gary BOYD,W,1115,,,,,,,
2022,Bath,COUNTY ATTORNEY,,Kim Hunt PRICE,DEM,3049,,,,,,,
2022,Bath,COUNTY CLERK,,Roger S. COYLE,DEM,3340,,,,,,,
2022,Bath,COUNTY COMMISSIONER 1st District,,J. R. FIELDS,DEM,1663,,,,,,,
2022,Bath,COUNTY COMMISSIONER 1st District,,"James ""Jimmy"" WHITE",REP,2435,,,,,,,
2022,Bath,COUNTY COMMISSIONER 2nd District,,Jimmy CRAIG,DEM,2195,,,,,,,
2022,Bath,COUNTY COMMISSIONER 2nd District,,Phillip D. COPHER,REP,1949,,,,,,,
2022,Bath,COUNTY COMMISSIONER 3rd District,,Jamie CLINE,DEM,2177,,,,,,,
2022,Bath,COUNTY COMMISSIONER 3rd District,,John BRASHEAR,REP,1971,,,,,,,
2022,Bath,COUNTY JUDGE/EXECUTIVE,,Bobby C. ROGERS,DEM,1846,,,,,,,
2022,Bath,COUNTY JUDGE/EXECUTIVE,,"Forrest ""Frosty"" McKENZIE",REP,2477,,,,,,,
2022,Bath,JAILER,,Earl WILLIS,DEM,2281,,,,,,,
2022,Bath,JAILER,,Jimmy Earl ROBERTS,REP,1912,,,,,,,
2022,Bath,MEMBER BOARD of EDUCATION 1st Educational District,,Democratic Party,DEM,29,,,,,,,
2022,Bath,MEMBER BOARD of EDUCATION 1st Educational District,,Republican Party,REP,85,,,,,,,
2022,Bath,PROPERTY VALUATION ADMINISTRATOR,,Howard David STONE,REP,1928,,,,,,,
2022,Bath,PROPERTY VALUATION ADMINISTRATOR,,Jacky S. WATSON,DEM,2373,,,,,,,
2022,Bath,SHERIFF,,Jessie STEWART,DEM,2586,,,,,,,
2022,Bath,SHERIFF,,"John ""Tuffy"" SNEDEGAR",REP,1734,,,,,,,
2022,Bath,SOIL and WATER CONSERVATION DISTRICT SUPERVISORS,,Democratic Party,DEM,83,,,,,,,
2022,Bath,SOIL and WATER CONSERVATION DISTRICT SUPERVISORS,,Republican Party,REP,106,,,,,,,
2022,Bath,STATE REPRESENTATIVE 74th Representative District,74.0,Bennie DESKINS,DEM,1325,,,,,,,
2022,Bath,STATE REPRESENTATIVE 74th Representative District,74.0,David HALE,REP,2794,,,,,,,
2022,Bath,UNITED STATES REPRESENTATIVE in CONGRESS 5th Congressional District,5.0,Conor HALBLEIB,DEM,764,,,,,,,
2022,Bath,UNITED STATES REPRESENTATIVE in CONGRESS 5th Congressional District,5.0,"Harold ""Hal"" ROGERS",REP,2138,,,,,,,
2022,Bath,UNITED STATES REPRESENTATIVE in CONGRESS 5th Congressional District,5.0,Stephan William MAZUR,W,0,,,,,,,
2022,Bath,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,6.0,Andy BARR,REP,987,,,,,,,
2022,Bath,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,6.0,"Geoffrey M. ""Geoff"" YOUNG",DEM,281,,,,,,,
2022,Bath,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,6.0,Maurice Randall CRAVENS II,W,1,,,,,,,
2022,Bath,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,6.0,Maxwell Keith FROEDGE,W,0,,,,,,,
2022,Boone,CITY COMMISSIONERS City of Union,,Democratic Party,DEM,641,,,,,,,
2022,Boone,CITY COMMISSIONERS City of Union,,Libertarian Party,LIB,0,,,,,,,
2022,Boone,CITY COMMISSIONERS City of Union,,Republican Party,REP,2037,,,,,,,
2022,Boone,CITY COUNCIL City of Florence,,Democratic Party,DEM,1190,,,,,,,
2022,Boone,CITY COUNCIL City of Florence,,Libertarian Party,LIB,9,,,,,,,
2022,Boone,CITY COUNCIL City of Florence,,Republican Party,REP,2995,,,,,,,
2022,Boone,CITY COUNCIL City of Walton,,Democratic Party,DEM,113,,,,,,,
2022,Boone,CITY COUNCIL City of Walton,,Libertarian Party,LIB,0,,,,,,,
2022,Boone,CITY COUNCIL City of Walton,,Republican Party,REP,309,,,,,,,
2022,Boone,CONSTABLE 1st Magisterial District,,David C. FLAIG,REP,12217,,,,,,,
2022,Boone,CONSTABLE 2nd Magisterial District,,Patrick R. BAILEY,REP,14513,,,,,,,
2022,Boone,CONSTABLE 3rd Magisterial District,,David ECKLAR,REP,6592,,,,,,,
2022,Boone,CORONER,,Missy RITTINGER,REP,34299,,,,,,,
2022,Boone,COUNTY ATTORNEY,,Jordan Dallas TURNER,REP,34531,,,,,,,
2022,Boone,COUNTY CLERK,,Justin CRIGLER,REP,35202,,,,,,,
2022,Boone,COUNTY COMMISSIONER District 1,,Cathy Hudson FLAIG,REP,34013,,,,,,,
2022,Boone,COUNTY COMMISSIONER District 2,,Chet HAND,REP,33807,,,,,,,
2022,Boone,COUNTY COMMISSIONER District 3,,Jesse BREWER,REP,33833,,,,,,,
2022,Boone,COUNTY JUDGE/EXECUTIVE,,Burnam Terry ROBERTS,W,633,,,,,,,
2022,Boone,COUNTY JUDGE/EXECUTIVE,,Gary W. MOORE,REP,33567,,,,,,,
2022,Boone,COUNTY SURVEYOR,,Gregory A. LARISON,REP,33827,,,,,,,
2022,Boone,DISTRICT JUDGE 54th Judicial District 2nd Division,,Democratic Party,DEM,2192,,,,,,,
2022,Boone,DISTRICT JUDGE 54th Judicial District 2nd Division,,Libertarian Party,LIB,78,,,,,,,
2022,Boone,DISTRICT JUDGE 54th Judicial District 2nd Division,,Republican Party,REP,6491,,,,,,,
2022,Boone,JAILER,,Jason MAYDAK,REP,34213,,,,,,,
2022,Boone,JUSTICE of the PEACE 1st Magisterial District,,Alexis J. HANNAN III.,LIB,7585,,,,,,,
2022,Boone,JUSTICE of the PEACE 2nd Magisterial District,,Christopher VAUGHT-HALL,REP,14513,,,,,,,
2022,Boone,JUSTICE of the PEACE 3rd Magisterial District,,Julie CONLEY,REP,6666,,,,,,,
2022,Boone,MEMBER BOARD of EDUCATION 1st Educational District (Unexpired Term),,Democratic Party,DEM,512,,,,,,,
2022,Boone,MEMBER BOARD of EDUCATION 1st Educational District (Unexpired Term),,Libertarian Party,LIB,39,,,,,,,
2022,Boone,MEMBER BOARD of EDUCATION 1st Educational District (Unexpired Term),,Republican Party,REP,1760,,,,,,,
2022,Boone,MEMBER BOARD of EDUCATION 4th Educational District,,Democratic Party,DEM,661,,,,,,,
2022,Boone,MEMBER BOARD of EDUCATION 4th Educational District,,Libertarian Party,LIB,0,,,,,,,
2022,Boone,MEMBER BOARD of EDUCATION 4th Educational District,,Republican Party,REP,1590,,,,,,,
2022,Boone,MEMBER BOARD of EDUCATION 5th Educational District,,Democratic Party,DEM,288,,,,,,,
2022,Boone,MEMBER BOARD of EDUCATION 5th Educational District,,Libertarian Party,LIB,0,,,,,,,
2022,Boone,MEMBER BOARD of EDUCATION 5th Educational District,,Republican Party,REP,574,,,,,,,
2022,Boone,MEMBER BOARD of EDUCATION Walton-Verona Graded Independent School District,,Democratic Party,DEM,258,,,,,,,
2022,Boone,MEMBER BOARD of EDUCATION Walton-Verona Graded Independent School District,,Libertarian Party,LIB,0,,,,,,,
2022,Boone,MEMBER BOARD of EDUCATION Walton-Verona Graded Independent School District,,Republican Party,REP,732,,,,,,,
2022,Boone,PROPERTY VALUATION ADMINISTRATOR,,Jonathan L. BROWN,REP,34731,,,,,,,
2022,Boone,SHERIFF,,Michael A. HELMIG,REP,35317,,,,,,,
2022,Boone,STATE REPRESENTATIVE 60th Representative District,60.0,Marianne PROCTOR,REP,12490,,,,,,,
2022,Boone,STATE REPRESENTATIVE 61st Representative District,61.0,Debby Lucas ANGEL,DEM,939,,,,,,,
2022,Boone,STATE REPRESENTATIVE 61st Representative District,61.0,Savannah MADDOX,REP,2965,,,,,,,
2022,Boone,STATE REPRESENTATIVE 63rd Representative District,63.0,Kimberly A. BANTA,REP,1709,,,,,,,
2022,Boone,STATE REPRESENTATIVE 66th Representative District,66.0,Steve RAWLINGS,REP,11235,,,,,,,
2022,Boone,STATE REPRESENTATIVE 66th Representative District,66.0,Tim MONTGOMERY,DEM,4719,,,,,,,
2022,Boone,STATE REPRESENTATIVE 69th Representative District,69.0,Chris BROWN,DEM,1411,,,,,,,
2022,Boone,STATE REPRESENTATIVE 69th Representative District,69.0,Steven DOAN,REP,2376,,,,,,,
2022,Boone,STATE REPRESENTATIVE 78th Representative District,78.0,Mark HART,REP,1933,,,,,,,
2022,Boone,UNITED STATES REPRESENTATIVE in CONGRESS 4th Congressional District,4.0,Ethan Keith OSBORNE,IND,1998,,,,,,,
2022,Boone,UNITED STATES REPRESENTATIVE in CONGRESS 4th Congressional District,4.0,Matthew LEHMAN,DEM,13001,,,,,,,
2022,Boone,UNITED STATES REPRESENTATIVE in CONGRESS 4th Congressional District,4.0,Thomas MASSIE,REP,30266,,,,,,,
2022,Boyd,CITY COMMISSIONERS City of Ashland,,Democratic Party,DEM,907,,,,,,,
2022,Boyd,CITY COMMISSIONERS City of Ashland,,Republican Party,REP,1628,,,,,,,
2022,Boyd,CITY COUNCIL City of Catlettsburg,,Charles Randal Salyers,W,27,,,,,,,
2022,Boyd,CITY COUNCIL City of Catlettsburg,,Democratic Party,DEM,86,,,,,,,
2022,Boyd,CITY COUNCIL City of Catlettsburg,,Donald L Rice Jr,W,5,,,,,,,
2022,Boyd,CITY COUNCIL City of Catlettsburg,,Republican Party,REP,270,,,,,,,
2022,Boyd,CONSTABLE 1st Magisterial District,,Brian K. RAMSDELL,REP,3468,,,,,,,
2022,Boyd,CONSTABLE 2nd Magisterial District,,Jack GALLAHER,DEM,2672,,,,,,,
2022,Boyd,CONSTABLE 3rd Magisterial District,,George DANIELS,DEM,1331,,,,,,,
2022,Boyd,CONSTABLE 3rd Magisterial District,,Richard L. VANHOOSE,REP,2956,,,,,,,
2022,Boyd,CORONER,,Mark HAMMOND,DEM,8726,,,,,,,
2022,Boyd,COUNTY ATTORNEY,,Curtis E. DOTSON,REP,7861,,,,,,,
2022,Boyd,COUNTY ATTORNEY,,"Patrick M. ""Pat"" HEDRICK",DEM,6168,,,,,,,
2022,Boyd,COUNTY CLERK,,"David J. ""DJ"" RYMER II.",DEM,4903,,,,,,,
2022,Boyd,COUNTY CLERK,,Kevin JOHNSTON,REP,9260,,,,,,,
2022,Boyd,COUNTY COMMISSIONER 1st District,,Heather MOORE-FRAME,DEM,5213,,,,,,,
2022,Boyd,COUNTY COMMISSIONER 1st District,,James David SALISBURY II.,REP,8575,,,,,,,
2022,Boyd,COUNTY COMMISSIONER 2nd District,,Jeremy K. HOLBROOK,REP,8607,,,,,,,
2022,Boyd,COUNTY COMMISSIONER 2nd District,,Larry D. BROWN,DEM,5213,,,,,,,
2022,Boyd,COUNTY COMMISSIONER 3rd District,,Randy STAPLETON,REP,10198,,,,,,,
2022,Boyd,COUNTY JUDGE/EXECUTIVE,,Eric CHANEY,REP,10777,,,,,,,
2022,Boyd,COUNTY SURVEYOR,,Larry C. BARKER JR.,REP,10109,,,,,,,
2022,Boyd,DISTRICT JUDGE 32nd Judicial District 2nd Division,,Democratic Party,DEM,394,,,,,,,
2022,Boyd,DISTRICT JUDGE 32nd Judicial District 2nd Division,,Republican Party,REP,861,,,,,,,
2022,Boyd,JAILER,,"William ""Bill"" HENSLEY",REP,10679,,,,,,,
2022,Boyd,JUSTICE of the PEACE 1st Magisterial District,,Woodrow F Conley,W,5,,,,,,,
2022,Boyd,JUSTICE of the PEACE 2nd Magisterial District,,Robin RUGGLES,DEM,2673,,,,,,,
2022,Boyd,JUSTICE of the PEACE 3rd Magisterial District,,Suzanne Barker GRIFFITH,DEM,2394,,,,,,,
2022,Boyd,MEMBER BOARD of EDUCATION 1st Educational District,,Democratic Party,DEM,175,,,,,,,
2022,Boyd,MEMBER BOARD of EDUCATION 1st Educational District,,Republican Party,REP,448,,,,,,,
2022,Boyd,MEMBER BOARD of EDUCATION 2nd Educational District,,Democratic Party,DEM,58,,,,,,,
2022,Boyd,MEMBER BOARD of EDUCATION 2nd Educational District,,Republican Party,REP,138,,,,,,,
2022,Boyd,MEMBER BOARD of EDUCATION Fairview Independent School District,,Democratic Party,DEM,113,,,,,,,
2022,Boyd,MEMBER BOARD of EDUCATION Fairview Independent School District,,Republican Party,REP,223,,,,,,,
2022,Boyd,MEMBER BOARD of EDUCATION Russell Independent School District,,Democratic Party,DEM,80,,,,,,,
2022,Boyd,MEMBER BOARD of EDUCATION Russell Independent School District,,Republican Party,REP,135,,,,,,,
2022,Boyd,PROPERTY VALUATION ADMINISTRATOR,,"Homer ""Jay"" WOODS JR.",REP,10297,,,,,,,
2022,Boyd,SHERIFF,,Bobby Jack WOODS,DEM,5384,,,,,,,
2022,Boyd,SHERIFF,,"James ""Jamie"" REIHS",REP,8820,,,,,,,
2022,Boyd,STATE REPRESENTATIVE 100th Representative District,100.0,Deborah J Criss,W,5,,,,,,,
2022,Boyd,STATE REPRESENTATIVE 100th Representative District,100.0,Scott L. SHARP,REP,6601,,,,,,,
2022,Boyd,STATE REPRESENTATIVE 96th Representative District,96.0,Patrick FLANNERY,REP,1505,,,,,,,
2022,Boyd,STATE REPRESENTATIVE 98th Representative District,98.0,Danny R. BENTLEY,REP,2244,,,,,,,
2022,Boyd,UNITED STATES REPRESENTATIVE in CONGRESS 5th Congressional District,5.0,Conor HALBLEIB,DEM,4330,,,,,,,
2022,Boyd,UNITED STATES REPRESENTATIVE in CONGRESS 5th Congressional District,5.0,"Harold ""Hal"" ROGERS",REP,9612,,,,,,,
2022,Boyd,UNITED STATES REPRESENTATIVE in CONGRESS 5th Congressional District,5.0,Stephan William Mazur,W,1,,,,,,,
2022,Boyle,CITY COMMISSIONERS City of Danville,,Democratic Party,DEM,1097,,,,,,,
2022,Boyle,CITY COMMISSIONERS City of Danville,,Republican Party,REP,1384,,,,,,,
2022,Boyle,CITY COUNCIL City of Junction City,,Democratic Party,DEM,140,,,,,,,
2022,Boyle,CITY COUNCIL City of Junction City,,Republican Party,REP,267,,,,,,,
2022,Boyle,CITY COUNCIL City of Perryville,,Democratic Party,DEM,55,,,,,,,
2022,Boyle,CITY COUNCIL City of Perryville,,Republican Party,REP,230,,,,,,,
2022,Boyle,CONSTABLE 1st Magisterial District,,"Don ""Buck"" SAWYER",DEM,673,,,,,,,
2022,Boyle,CONSTABLE 1st Magisterial District,,R. Andrew HOURIGAN,REP,1265,,,,,,,
2022,Boyle,CONSTABLE 2nd Magisterial District,,Dennis E. CURTSINGER,DEM,934,,,,,,,
2022,Boyle,CONSTABLE 3rd Magisterial District,,James Anthony MURPHY,DEM,915,,,,,,,
2022,Boyle,CONSTABLE 4th Magisterial District,,H. Jack HENDRICKS,REP,1323,,,,,,,
2022,Boyle,CONSTABLE 5th Magisterial District,,Randall L. RILEY,DEM,824,,,,,,,
2022,Boyle,CONSTABLE 6th Magisterial District,,Timothy Wayne GOOCH,REP,1342,,,,,,,
2022,Boyle,CORONER,,Eric GUERRANT,REP,6614,,,,,,,
2022,Boyle,CORONER,,Malcolm MILLER,DEM,3473,,,,,,,
2022,Boyle,COUNTY ATTORNEY,,Christopher K. HERRON,REP,7670,,,,,,,
2022,Boyle,COUNTY CLERK,,Casey McCOY,REP,5986,,,,,,,
2022,Boyle,COUNTY CLERK,,Sara HENRY,DEM,4264,,,,,,,
2022,Boyle,COUNTY JUDGE/EXECUTIVE,,Howard HUNT,REP,5042,,,,,,,
2022,Boyle,COUNTY JUDGE/EXECUTIVE,,Trille L. BOTTOM,DEM,5314,,,,,,,
2022,Boyle,COUNTY SURVEYOR,,Richard Patrick MURPHY,W,19,,,,,,,
2022,Boyle,JAILER,,Brian WOFFORD,REP,7688,,,,,,,
2022,Boyle,MAGISTRATE 1st Magisterial District,,Terry HOGUE,DEM,707,,,,,,,
2022,Boyle,MAGISTRATE 1st Magisterial District,,Tom V. ELLIS,REP,1269,,,,,,,
2022,Boyle,MAGISTRATE 2nd Magisterial District,,Paula BODNER,REP,1200,,,,,,,
2022,Boyle,MAGISTRATE 2nd Magisterial District,,Tina LYNN,DEM,458,,,,,,,
2022,Boyle,MAGISTRATE 3rd Magisterial District,,Barry HARMON,REP,785,,,,,,,
2022,Boyle,MAGISTRATE 3rd Magisterial District,,Phillip R. SAMMONS,DEM,642,,,,,,,
2022,Boyle,MAGISTRATE 4th Magisterial District,,Jason M. CULLEN,REP,1106,,,,,,,
2022,Boyle,MAGISTRATE 4th Magisterial District,,Jerry LEBER,DEM,770,,,,,,,
2022,Boyle,MAGISTRATE 5th Magisterial District,,Jamey GAY,DEM,902,,,,,,,
2022,Boyle,MAGISTRATE 6th Magisterial District,,John B. CAYWOOD,DEM,932,,,,,,,
2022,Boyle,MAGISTRATE 6th Magisterial District,,Steve SLEEPER,REP,1056,,,,,,,
2022,Boyle,MEMBER BOARD of EDUCATION 2nd Educational District,,Democratic Party,DEM,124,,,,,,,
2022,Boyle,MEMBER BOARD of EDUCATION 2nd Educational District,,Republican Party,REP,347,,,,,,,
2022,Boyle,MEMBER BOARD of EDUCATION 3rd Educational District,,Democratic Party,DEM,64,,,,,,,
2022,Boyle,MEMBER BOARD of EDUCATION 3rd Educational District,,Republican Party,REP,254,,,,,,,
2022,Boyle,PROPERTY VALUATION ADMINISTRATOR,,"Lacresha ""My"" GIBSON",DEM,6512,,,,,,,
2022,Boyle,SHERIFF,,Charles M. PARKS,DEM,3861,,,,,,,
2022,Boyle,SHERIFF,,Taylor BOTTOM,REP,6405,,,,,,,
2022,Boyle,STATE REPRESENTATIVE 54th Representative District,54.0,Daniel B. ELLIOTT,REP,6649,,,,,,,
2022,Boyle,STATE REPRESENTATIVE 54th Representative District,54.0,Elaine WILSON-REDDY,DEM,3598,,,,,,,
2022,Boyle,UNITED STATES REPRESENTATIVE in CONGRESS 1st Congressional District,1.0,James R. COMER,REP,6724,,,,,,,
2022,Boyle,UNITED STATES REPRESENTATIVE in CONGRESS 1st Congressional District,1.0,Jimmy C. AUSBROOKS,DEM,3456,,,,,,,
2022,Bracken,CITY COMMISSIONERS City of Germantown,,John Early GORDLEY,W,0,,,,,,,
2022,Bracken,CITY COMMISSIONERS City of Germantown,,Ruby HIGHFIELD,W,9,,,,,,,
2022,Bracken,CITY COMMISSIONERS City of Germantown,,Sherman Maxwell Moran,W,1,,,,,,,
2022,Bracken,CITY COUNCIL City of Augusta,,Democratic Party,DEM,58,,,,,,,
2022,Bracken,CITY COUNCIL City of Augusta,,Republican Party,REP,169,,,,,,,
2022,Bracken,CITY COUNCIL City of Brooksville,,Democratic Party,DEM,29,,,,,,,
2022,Bracken,CITY COUNCIL City of Brooksville,,Republican Party,REP,71,,,,,,,
2022,Bracken,CONSTABLE 1st Magisterial District,,"William E. ""Bill"" RUF",DEM,333,,,,,,,
2022,Bracken,CONSTABLE 2nd Magisterial District,,Alexander Lansing HYRCZA,REP,262,,,,,,,
2022,Bracken,CONSTABLE 3rd Magisterial District,,Joseph Kiskaden,W,5,,,,,,,
2022,Bracken,CONSTABLE 4th Magisterial District,,Jonathan L. GALLOWAY,REP,374,,,,,,,
2022,Bracken,CONSTABLE 5th Magisterial District,,Greg L. Cummins,W,9,,,,,,,
2022,Bracken,CONSTABLE 6th Magisterial District,,Kenny CARL,DEM,283,,,,,,,
2022,Bracken,CONSTABLE 7th Magisterial District,,Darrel PERSINGER,W,40,,,,,,,
2022,Bracken,CONSTABLE 7th Magisterial District,,Mark EDGLEY,W,18,,,,,,,
2022,Bracken,CORONER,,Christopher Ford CUMMINS,REP,2811,,,,,,,
2022,Bracken,COUNTY ATTORNEY,,Beth MOORE,DEM,2415,,,,,,,
2022,Bracken,COUNTY CLERK,,Jennifer FREE,REP,1758,,,,,,,
2022,Bracken,COUNTY CLERK,,Rae Jean POE,DEM,1517,,,,,,,
2022,Bracken,COUNTY JUDGE/EXECUTIVE,,James JOHNSON,REP,1198,,,,,,,
2022,Bracken,COUNTY JUDGE/EXECUTIVE,,Tina K. TEEGARDEN,DEM,2034,,,,,,,
2022,Bracken,DISTRICT JUDGE 19th Judicial District,,Democratic Party,DEM,19,,,,,,,
2022,Bracken,DISTRICT JUDGE 19th Judicial District,,Republican Party,REP,76,,,,,,,
2022,Bracken,JAILER,,Charlie CLOS,DEM,2509,,,,,,,
2022,Bracken,MAGISTRATE 1st Magisterial District,,Carl ALLEN JR.,DEM,177,,,,,,,
2022,Bracken,MAGISTRATE 1st Magisterial District,,Sandy RUF,REP,276,,,,,,,
2022,Bracken,MAGISTRATE 2nd Magisterial District,,Craig MILLER,DEM,242,,,,,,,
2022,Bracken,MAGISTRATE 2nd Magisterial District,,Martin B. HAUSE,REP,120,,,,,,,
2022,Bracken,MAGISTRATE 3rd Magisterial District,,David B. KELSCH,DEM,266,,,,,,,
2022,Bracken,MAGISTRATE 4th Magisterial District,,"Daniel ""Danny"" HOLLERAN",REP,251,,,,,,,
2022,Bracken,MAGISTRATE 4th Magisterial District,,Steven W. CUMMINS,DEM,195,,,,,,,
2022,Bracken,MAGISTRATE 5th Magisterial District,,Deborah MAYFIELD,REP,229,,,,,,,
2022,Bracken,MAGISTRATE 5th Magisterial District,,John M. GOECKE,DEM,160,,,,,,,
2022,Bracken,MAGISTRATE 6th Magisterial District,,Gary L. RIGGS,DEM,156,,,,,,,
2022,Bracken,MAGISTRATE 6th Magisterial District,,John T. SCOTT,REP,240,,,,,,,
2022,Bracken,MAGISTRATE 7th Magisterial District,,"Doug ""Smitty"" SMITH",DEM,192,,,,,,,
2022,Bracken,MAGISTRATE 7th Magisterial District,,Heather Free BRUMLEY,REP,210,,,,,,,
2022,Bracken,MAGISTRATE 8th Magisterial District,,Jeff COLLINS,DEM,122,,,,,,,
2022,Bracken,MAGISTRATE 8th Magisterial District,,Kevin JARRELLS,REP,297,,,,,,,
2022,Bracken,MAYOR City of Augusta,,Michael C. TAYLOR,W,57,,,,,,,
2022,Bracken,MEMBER BOARD of EDUCATION 3rd Educational District,,Democratic Party,DEM,40,,,,,,,
2022,Bracken,MEMBER BOARD of EDUCATION 3rd Educational District,,Republican Party,REP,85,,,,,,,
2022,Bracken,MEMBER BOARD of EDUCATION 4th Educational District,,Democratic Party,DEM,75,,,,,,,
2022,Bracken,MEMBER BOARD of EDUCATION 4th Educational District,,Republican Party,REP,129,,,,,,,
2022,Bracken,PROPERTY VALUATION ADMINISTRATOR,,Tracey FLORER,DEM,2639,,,,,,,
2022,Bracken,SHERIFF,,"Robert ""Bobby"" BOODY",REP,2708,,,,,,,
2022,Bracken,STATE REPRESENTATIVE 70th Representative District,70.0,Meagan BRANNON,DEM,1020,,,,,,,
2022,Bracken,STATE REPRESENTATIVE 70th Representative District,70.0,William Lee LAWRENCE,REP,2216,,,,,,,
2022,Bracken,UNITED STATES REPRESENTATIVE in CONGRESS 4th Congressional District,4.0,Ethan Keith OSBORNE,IND,90,,,,,,,
