year,county,office,district,candidate,party,votes
2022,Adair,CITY COUNCIL City of Columbia,,Democratic Party,DEM,136
2022,Adair,CITY COUNCIL City of Columbia,,Republican Party,REP,920
2022,Adair,CONSTABLE 1st Magisterial District,,"William ""Bill"" TROUTWINE",REP,679
2022,Adair,CONSTABLE 2nd Magisterial District,,Brandon WILLIS,W,41
2022,Adair,CONSTABLE 2nd Magisterial District,,David R BARNETT,W,16
2022,Adair,CONSTABLE 3rd Magisterial District,,Ken HILL,REP,703
2022,Adair,CONSTABLE 4th Magisterial District,,Jeff DICKSON,REP,728
2022,Adair,CONSTABLE 5th Magisterial District,,Tim BOTTOMS,REP,729
2022,Adair,CONSTABLE 6th Magisterial District,,Jason RECTOR,REP,767
2022,Adair,CONSTABLE 7th Magisterial District,,Joe COLLINS JR.,REP,694
2022,Adair,CORONER,,Roger HUCKABY JR.,REP,4967
2022,Adair,COUNTY ATTORNEY,,Jennifer HUTCHISON-CORBIN,REP,5307
2022,Adair,COUNTY CLERK,,Lisa GREER,REP,5431
2022,Adair,COUNTY JUDGE/EXECUTIVE,,Larry Russell BRYANT,REP,4986
2022,Adair,COUNTY SURVEYOR,,Michael E. McKINNEY,REP,5053
2022,Adair,DISTRICT JUDGE 29th Judicial District,,Democratic Party,DEM,131
2022,Adair,DISTRICT JUDGE 29th Judicial District,,Republican Party,REP,713
2022,Adair,JAILER,,Jamie RICHARD,REP,4263
2022,Adair,JAILER,,Jeremy WETHINGTON,DEM,2031
2022,Adair,MAGISTRATE 1st Magisterial District,,Tony DENTON,REP,703
2022,Adair,MAGISTRATE 2nd Magisterial District,,Daryl FLATT,REP,579
2022,Adair,MAGISTRATE 3rd Magisterial District,,"Benjamin ""Ben"" LOY",DEM,332
2022,Adair,MAGISTRATE 3rd Magisterial District,,Sammy L. BAKER,REP,589
2022,Adair,MAGISTRATE 4th Magisterial District,,Chris REEDER,REP,763
2022,Adair,MAGISTRATE 5th Magisterial District,,Billy Dean COFFEY,REP,568
2022,Adair,MAGISTRATE 5th Magisterial District,,Jason GRIDER,DEM,436
2022,Adair,MAGISTRATE 6th Magisterial District,,"Ronald ""Mark"" HUMPHRESS",REP,805
2022,Adair,MAGISTRATE 7th Magisterial District,,Terry M. HADLEY,REP,729
2022,Adair,MEMBER BOARD of EDUCATION 1st Educational District,,Democratic Party,DEM,54
2022,Adair,MEMBER BOARD of EDUCATION 1st Educational District,,Republican Party,REP,398
2022,Adair,MEMBER BOARD of EDUCATION 3rd Educational District,,Democratic Party,DEM,38
2022,Adair,MEMBER BOARD of EDUCATION 3rd Educational District,,Republican Party,REP,281
2022,Adair,PROPERTY VALUATION ADMINISTRATOR,,Landon EDWARDS,DEM,3552
2022,Adair,SHERIFF,,Josh BROCKMAN,REP,5340
2022,Adair,STATE REPRESENTATIVE 21st Representative District,21,Amy NEIGHBORS,REP,5141
2022,Adair,STATE SENATOR 16th Senatorial District,16,"George Maxwell ""Max"" WISE",REP,5340
2022,Adair,UNITED STATES REPRESENTATIVE in CONGRESS 1st Congressional District,1,James R. COMER,REP,5422
2022,Adair,UNITED STATES REPRESENTATIVE in CONGRESS 1st Congressional District,1,Jimmy C. AUSBROOKS,DEM,851
2022,Adair,UNITED STATES SENATOR,,Billy Ray WILSON,W,0
2022,Adair,UNITED STATES SENATOR,,Charles BOOKER,DEM,1075
2022,Adair,UNITED STATES SENATOR,,Charles Lee THOMASON,W,0
2022,Adair,UNITED STATES SENATOR,,Rand PAUL,REP,5249
2022,Bath,CITY COMMISSIONERS City of Salt Lick,,Democratic Party,DEM,82
2022,Bath,CITY COMMISSIONERS City of Salt Lick,,Republican Party,REP,92
2022,Bath,CITY COMMISSIONERS City of Sharpsburg,,Charlene CLEMONS,W,26
2022,Bath,CITY COMMISSIONERS City of Sharpsburg,,Democratic Party,DEM,52
2022,Bath,CITY COMMISSIONERS City of Sharpsburg,,Republican Party,REP,72
2022,Bath,CITY COUNCIL City of Owingsville,,Democratic Party,DEM,181
2022,Bath,CITY COUNCIL City of Owingsville,,Republican Party,REP,249
